"","cvaR","cnm","cM","p.max","EMA.max","f","OMA_solnp.max","OMA_osqp.max","CSLcv.max","CSLall.max","CSLall_perlambda.max","adalasso_est_per_site.max","em_df_sigma_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.0518399999999974,0.0603500000000008,0.0555300000000071,0.201919999999999,0.0619399999999993,196.60282,19.55161,0.247689099999999,0.0603300000000002,0.000740000000001828,1.99999999995271e-05,0.140759999999999,0.000819999999998515,6.99999999989131e-05,2.99999999992906e-05,9.14,25
"2",0.5,50,100,0.0511799999999857,0.104430000000002,0.115799999999997,2.68005000000001,0.119420000000034,197.91215,19.6042700000001,0.247275200000036,0.104330000000002,0.0100200000000177,0.00260000000000673,2.56297999999999,0.00233000000000402,0.000119999999997162,0.000140000000003511,11.31,29.25
"3",0.5,100,10,0.0528200000000197,0.0669200000000274,0.0638500000000113,0.210370000000034,0.0687200000000712,199.00849,19.69903,0.249588999999987,0.0669000000000278,0.000990000000028886,0,0.142429999999977,0.000820000000012442,5.00000000010914e-05,1.00000000020373e-05,9.14,25
"4",0.5,100,100,0.0538499999999749,0.0962300000000141,0.21525000000001,2.6514500000001,0.120150000000094,198.54277,19.7726500000002,0.250958800000205,0.0960400000000254,0.0155000000000564,0.00615000000001601,2.53356999999999,0.00226000000001477,0.000190000000015971,0.000199999999981628,11.36,25.5
"5",0.5,1000,10,0.0638399999999638,0.0781100000001061,0.156560000000018,0.194850000000251,0.082040000000261,224.80753,23.2448600000001,0.296937200000182,0.0778900000000886,0.00289000000014312,2.00000000040745e-05,0.113860000000013,0.000780000000013388,0.000190000000002328,0.00046000000001186,9.18,25
"6",0.5,1000,100,0.0659099999999762,0.16573000000004,1.53251000000002,1.85986000000001,0.23243999999987,224.37863,23.2077300000001,0.293982000000232,0.163190000000059,0.062359999999926,0.0022299999999268,1.62977000000005,0.00237999999998465,0.00231000000004315,0.00227999999997337,14.85,25
"7",1,50,10,0.0545700000000488,0.0695699999999852,0.0567699999999786,0.209709999999986,0.0712899999999354,197.83342,19.6502099999999,0.250219499999976,0.0695499999999811,0.000929999999971187,0,0.139220000000032,0.000779999999977008,1.00000000020373e-05,3.00000000061118e-05,9.21,25
"8",1,50,100,0.0515900000000147,0.0997600000001512,0.103049999999985,2.67292000000021,0.112670000000126,199.19968,19.7185300000002,0.249417700000217,0.0996400000001631,0.00628000000009706,0.00443999999986772,2.5624700000001,0.00215999999996711,8.99999999819556e-05,0.000150000000030559,11.6,27.75
"9",1,100,10,0.0528000000000247,0.062720000000063,0.061359999999986,0.210140000000138,0.0645900000000256,199.86546,19.72291,0.250411900000048,0.0626500000000488,0.000990000000019791,3.00000000061118e-05,0.146420000000071,0.000859999999975116,4.99999999919964e-05,5.99999999758438e-05,9.06,25
"10",1,100,100,0.0508800000000338,0.0981899999999951,0.15530999999999,2.64632999999994,0.113200000000143,197.66802,19.7618400000002,0.249672600000252,0.0980099999999948,0.0112899999999536,0.00161000000007334,2.53523999999989,0.00214000000014494,0.000180000000036671,0.000149999999975989,11.42,26
"11",1,1000,10,0.0623200000001089,0.0835900000000584,0.148879999999936,0.20161000000031,0.087020000000266,223.30766,22.5399700000003,0.287413300000175,0.0834200000000419,0.00253000000018801,3.00000000061118e-05,0.115430000000106,0.000789999999979045,0.000199999999967986,0.000250000000050932,9.12,25
"12",1,1000,100,0.0670000000000982,0.180610000000033,1.58212000000001,1.87640999999996,0.234759999999915,223.43968,23.0230300000003,0.291095500000247,0.178150000000023,0.0502599999999256,0.00192999999997483,1.64382000000003,0.00221000000006825,0.00225000000000364,0.00220999999992273,14.99,25
"13",123,50,10,0.0542399999998997,0.0643399999999383,0.0570899999998073,0.20221000000005,0.0659700000000521,197.30432,19.6344100000002,0.249041800000077,0.0642899999999463,0.000860000000066066,2.00000000040745e-05,0.137000000000025,0.000780000000031578,4.00000000081491e-05,2.00000000040745e-05,9.28,25
"14",123,50,100,0.0527900000001864,0.105560000000169,0.100140000000101,2.64202000000032,0.117710000000206,197.20477,19.6186400000004,0.247329800000357,0.105490000000227,0.00363000000013926,0.00627000000000407,2.5265,0.00215999999982159,0.000129999999953725,0.000160000000014406,11.86,26.75
"15",123,100,10,0.0536599999997634,0.0630400000003283,0.0609700000004523,0.206900000000023,0.0648800000004121,199.06104,19.7045000000004,0.250237700000036,0.0629800000003161,0.000980000000054133,1.00000000020373e-05,0.142909999999647,0.000900000000037835,2.00000000040745e-05,1.00000000020373e-05,9.11,25
"16",123,100,100,0.0526900000001478,0.0929199999998673,0.151060000000143,2.71679000000029,0.108920000000144,200.05942,19.8444600000001,0.255844800000062,0.0927099999998245,0.0118000000002576,0.00203000000019529,2.61007000000001,0.00217999999982567,0.000180000000000291,0.000200000000040745,11.56,27.5
"17",123,1000,10,0.0616600000000108,0.0774500000002081,0.144970000000176,0.217020000000775,0.0815900000003603,223.30213,22.5738600000001,0.289692600000316,0.0772200000001976,0.00335000000031869,2.99999999333522e-05,0.136190000000279,0.000779999999867869,0.000230000000046857,0.000210000000042783,9.19,25.5
"18",123,1000,100,0.0640599999999904,0.183320000000422,1.57311000000002,2.00861000000048,0.24599000000002,222.90458,23.0348100000003,0.294282300000062,0.180720000000329,0.0590199999998731,0.00177999999992608,1.7649200000002,0.00224999999980355,0.00217000000015105,0.00222000000008848,15.88,25
