"","cvaR","cnm","cM","p.max","EMA.max","f","OMA_solnp.max","OMA_osqp.max","CSLcv.max","CSLall.max","CSLall_perlambda.max","adalasso_est_per_site.max","em_df_sigma_per_site.max","center_agg","center_opt_solnp","center_opt_osqp","pred_OMA_solnp","pred_OMA_osqp","center_opt_solnp.round","center_opt_osqp.round"
"1",0.5,50,10,0.0525099999998201,0.0639400000000751,0.0572000000001572,0.20068000000043,0.0656699999998818,199.411769999999,19.8137599999997,0.250132399999569,0.063920000000071,0.00084000000024389,3.99999999353895e-05,0.135850000000137,0.000849999999627471,3.00000000424916e-05,2.00000000040745e-05,9.21,25
"2",0.5,50,100,0.0529899999999179,0.1125900000002,0.109040000000386,2.52803000000167,0.123000000001557,199.066990000003,19.8161800000016,0.250968400002346,0.112490000000107,0.00457000000162225,0.00364000000015949,2.4072399999998,0.00218999999975495,8.99999999819556e-05,0.000109999999913271,11.28,27.75
"3",0.5,100,10,0.0523999999998341,0.068920000000071,0.0608700000001409,0.208520000000572,0.0707400000007328,200.16623,19.8859800000001,0.253606799999917,0.0688700000000245,0.000990000000820146,3.99999999353895e-05,0.138559999999779,0.00080999999998312,6.00000000122236e-05,2.9999999969732e-05,9.19,25
"4",0.5,100,100,0.0535999999999331,0.110480000000171,0.151209999999628,2.60536000000036,0.126830000000409,201.161950000003,19.9820500000044,0.258210700003656,0.110250000000378,0.00951999999982945,0.00461999999977706,2.48079000000027,0.00223000000027241,0.00018000000010943,0.000210000000151922,11.51,26.75
"5",0.5,1000,10,0.0624600000003556,0.0912000000000262,0.147309999999779,0.222010000003065,0.0944100000031176,226.778780000003,22.8178500000032,0.291617700003232,0.0909700000000157,0.00230000000301516,0.000129999999990105,0.128510000000024,0.000770000000266009,0.000100000000020373,0.000239999999830616,9.15,25
"6",0.5,1000,100,0.0723400000000402,0.231299999999756,1.60944000000032,2.13907999999989,0.293570000000254,225.696740000003,23.4187200000042,0.298269900003841,0.22874000000018,0.0580300000002899,0.00217999999949825,1.8479099999999,0.00236999999993714,0.00222000000001572,0.00225000000034925,15.49,25
"7",1,50,10,0.0539099999997416,0.0638300000007439,0.0577300000000832,0.199380000000747,0.0655100000007951,200.6647,19.8376600000007,0.25242070000032,0.0638100000007398,0.000859999999811407,2.9999999969732e-05,0.134650000000111,0.000800000000235741,3.00000001152512e-05,1.00000000384171e-05,9.23,25
"8",1,50,100,0.054350000000486,0.104350000000268,0.103050000000367,2.56635000000373,0.111400000002759,199.995230000003,19.892670000002,0.252258000002421,0.104200000000055,0.00220000000299478,0.00274000000026717,2.45711000000039,0.00217999999957101,0.000100000000020373,7.9999999870779e-05,11.69,26.5
"9",1,100,10,0.0578199999998469,0.0741300000003685,0.0669200000002456,0.220780000001541,0.0759600000011414,223.916540000001,23.1251100000003,0.289047300000252,0.0740700000002835,0.000980000001145527,2.9999999969732e-05,0.145630000000165,0.000859999999811407,6.99999999778811e-05,1.9999999931315e-05,9.09,25
"10",1,100,100,0.0681299999994371,0.106449999999968,0.199100000000544,3.26567000000032,0.128189999999886,244.211310000003,24.0366500000028,0.305518400002964,0.106260000000111,0.0138200000001234,0.0052299999997922,3.14005000000026,0.00263999999966472,0.000310000000026776,0.000240000000194414,11.33,27
"11",1,1000,10,0.076450000000259,0.110250000000233,0.178260000000082,0.282260000003371,0.114090000003125,285.241720000003,28.0686300000035,0.357460800003322,0.110000000000073,0.00274000000303204,4.00000000081491e-05,0.169250000000393,0.000989999999874271,0.000229999999864958,0.000320000000137952,9.29,25.25
"12",1,1000,100,0.0756600000003527,0.214429999999775,1.84432000000008,2.96313999999977,0.291439999999493,271.646710000003,29.2306200000041,0.365605800003953,0.211149999999834,0.0726399999997375,0.0022000000000844,2.67403000000028,0.00256999999983236,0.00311999999983527,0.00288000000000466,16.74,25
"13",123,50,10,0.0541900000002352,0.067099999999773,0.0612600000002567,0.206139999999868,0.0687499999997817,219.5501,21.4424500000001,0.268656700000101,0.0670599999996921,0.000810000000055879,2.00000000040745e-05,0.138230000000185,0.000849999999991269,1.9999999931315e-05,1.00000000384171e-05,9.18,25
"14",123,50,100,0.061049999999741,0.113470000000598,0.114950000000317,2.81481000000145,0.122810000001846,210.841140000003,19.9987700000026,0.26035790000296,0.113390000000509,0.00436000000125205,0.00267000000007101,2.6942599999997,0.00233000000007451,0.000129999999917345,5.9999999939464e-05,11.8,28.25
"15",123,100,10,0.0640500000002794,0.075880000000252,0.0740800000001764,0.240770000002231,0.0777600000020175,249.82937,24.9813699999994,0.31320339999969,0.0758200000002398,0.00099000000183878,2.00000000768341e-05,0.163940000000075,0.00091999999989639,0,9.99999996565748e-06,9.06,25
"16",123,100,100,0.0697799999996641,0.141050000000105,0.189770000000281,3.26342999999957,0.159439999999886,265.413990000003,25.6893000000037,0.324044700003021,0.140760000000082,0.013939999999493,0.00186000000023341,3.10660999999986,0.00263999999973748,0.00025999999990745,0.000240000000339933,11.46,26.75
"17",123,1000,10,0.0800699999998324,0.112999999999447,0.176469999999681,0.293080000003101,0.115710000003601,287.541490000004,28.7421100000032,0.370462300003984,0.112659999999742,0.00178000000320026,1.9999999931315e-05,0.178340000000026,0.0010200000005716,0.000280000000202563,0.000230000000155997,9.29,25.5
"18",123,1000,100,0.0783999999999651,0.303020000001416,1.86727000000013,3.3641099999992,0.361460000000079,291.621980000003,29.0216900000055,0.368050700004458,0.299860000000481,0.0534900000003108,0.00238999999884982,3.00546000000017,0.00277999999976601,0.00290999999939231,0.00294000000067172,17.57,25
